categoria,titulo,precio_oferta,precio_normal,imagen
Paquete,Paquetes a Medellín,502663,868351,//media.staticontent.com/media/pictures/d9206bce-e2c1-433a-b03b-35f1ecf695f8/300x200
Paquete,Paquetes a Punta Cana,2291632,2891724,//media.staticontent.com/media/pictures/c98f73fd-35d1-4d81-9f3a-4e806fa3cc13/300x200
Paquete,Paquetes a Miami,2726593,2886464,//media.staticontent.com/media/pictures/d6f408b2-6824-4d55-9b3b-4d0a2fa459fa/300x200
Paquete,Paquetes a Leticia,567632,0,//media.staticontent.com/media/pictures/4584c24e-e9a4-4cb6-be60-7a608f4e949a/300x200
Paquete,Paquetes a Rio de Janeiro,2749732,3056239,//media.staticontent.com/media/pictures/748a1d4a-8dc3-4e82-a691-ac41c79576fe/300x200
Vuelo,Vuelo a Cancún,871267,0,//media.staticontent.com/media/pictures/0a660d84-dca3-4854-9993-2dc03172f258/300x200
Vuelo,Vuelo a Santiago de Chile,927203,0,//media.staticontent.com/media/pictures/8be15b81-1ea8-46e4-916d-d06f5bd4e7e7/300x200
Vuelo,Vuelo a Dubái,2730320,0,//media.staticontent.com/media/pictures/4572763b-64ee-4b05-bca7-d824e8be4c11/300x200
Vuelo,Vuelo a La Habana,1636860,0,//media.staticontent.com/media/pictures/c42fabfa-328c-4d91-a43c-f768f2789de0/300x200
Vuelo,Vuelo a Roma,2243106,0,//media.staticontent.com/media/pictures/9638ed47-0bd4-4f79-968e-5fa4aa64d775/300x200
Vuelo,Vuelo a Asunción,1081580,0,//media.staticontent.com/media/pictures/e2beeab7-bccc-4cb5-9a07-905860647ba3/300x200
Vuelo,Vuelos a Medellín,126101,0,//media.staticontent.com/media/pictures/77cef6c6-6538-45a8-8518-e6605d85fd36/300x200
Vuelo,Vuelos a Cartagena de Indias,146580,0,//media.staticontent.com/media/pictures/d8303972-7f71-49b2-b2a0-6457966ef56e/300x200
Vuelo,Vuelos a Santa Marta,147241,0,//media.staticontent.com/media/pictures/66273bd5-baa3-416f-9a0d-27cdd99445f9/300x200
Paquete,Paquetes a San Andrés,1476928,2253768,//media.staticontent.com/media/pictures/f96dcbb2-af00-4b79-8c25-915b0111dcac/300x200
Vuelo,Vuelos a Cali,133318,0,//media.staticontent.com/media/pictures/546c3a88-dac6-4fab-b473-338ae9654ee0/300x200
Alojamiento,UGO Hotel,276432,0,//media.staticontent.com/media/pictures/a11b893a-1d88-41c9-916d-69706770c7c7/300x200
Actividad,Entradas a Parques Temáticos Disney,520896,0,//media.staticontent.com/media/pictures/a1a798f7-f4ab-4583-b4f2-cc17a5b1fef8/300x200
Alojamiento,Hotel Calypso Beach,614757,0,//media.staticontent.com/media/pictures/310ff2bd-d37d-498e-937e-bca37a310cb7/300x200
Vuelo,Vuelos a Ciudad de México,3876950,0,//media.staticontent.com/media/pictures/3c9b21c1-c321-4ee6-88eb-de6c9538675f/300x200
Vuelo,Vuelos a Miami,781653,0,//media.staticontent.com/media/pictures/738c0839-6390-4b83-a15c-fef9171cdd96/300x200
Paquete,Paquetes a Santa Marta,528334,1042266,//media.staticontent.com/media/pictures/a0f71baa-7342-44fc-ac4e-29c84adb22cc/300x200
Alojamiento,Hotel Poblado Plaza,350400,438000,//media.staticontent.com/media/pictures/410ac798-9be4-4a26-92b3-59c97baa0d2d/300x200
Vuelo,Vuelos a Cartagena de Indias,108459,0,//media.staticontent.com/media/pictures/5c804847-8b9e-4f22-b2c4-c0a05f2f7e47/300x200
Alojamiento,Hotel Capilla Del Mar,392412,509626,//media.staticontent.com/media/pictures/e10e9950-267c-40bc-b3d9-ea6582b700cf/300x200
Auto,Carros Económicos en Miami,145358,0,//media.staticontent.com/media/pictures/a3dffcfe-734f-445f-9663-29d0f22fbc1b/300x200
Auto,Autos Económicos en Cartagena de Indias,110933,0,//media.staticontent.com/media/pictures/31081cbb-f0cd-4cdc-9718-b209c2350d03/300x200
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
