categoria,titulo,precio_oferta,precio_normal,imagen
Paquete,Paquetes a Cartagena de Indias,375065,408772,//media.staticontent.com/media/pictures/1d51a0f8-99f8-4c68-9e92-f7ea744437ea/300x200
Paquete,Paquetes a Cali,412876,456593,//media.staticontent.com/media/pictures/45486b4c-3442-4da3-9e03-a0a154197b23/300x200
Paquete,Paquetes a San Andrés,941004,1602844,//media.staticontent.com/media/pictures/24988134-97e6-428a-8e49-527fd4075157/300x200
Paquete,Paquetes a Punta Cana,2112665,2473671,//media.staticontent.com/media/pictures/e1a4d803-9b00-42ea-b901-0a8b7fca3917/300x200
Paquete,Paquetes a Ciudad de México,1321923,1503321,//media.staticontent.com/media/pictures/2fefbd59-69e7-408a-ac96-8bd806b9f693/300x200
Paquete,Paquetes a Madrid,2503271,2648771,//media.staticontent.com/media/pictures/3bfb4f98-cd6f-4e61-bab6-d8acbf0feb24/300x200
Paquete,Paquetes a Panamá,1068056,1266953,//media.staticontent.com/media/pictures/b269216a-22ec-4e51-b1a7-f5827873a158/300x200
Paquete,Paquetes a Buenos Aires,2173782,2717233,//media.staticontent.com/media/pictures/e3e81663-9725-434b-9d52-e924dab0345a/300x200
Vuelo,Vuelo a Cancún,866757,0,//media.staticontent.com/media/pictures/275da639-35f9-40f9-b791-6d04f8d0b122/300x200
Vuelo,París + Estambul,2685140,0,//media.staticontent.com/media/pictures/e6c62747-49eb-4f41-aece-4311fa4fe1e0/300x200
Vuelo,Vuelo a Santiago de Chile,930708,0,//media.staticontent.com/media/pictures/8723334b-ed49-4f2d-be98-b4922e0a476c/300x200
Vuelo,Vuelo a Monteria,136590,0,//media.staticontent.com/media/pictures/cedcf569-3bcd-413d-9ab1-56550c64d231/300x200
Vuelo,Vuelo a Buenos Aires,1638164,0,//media.staticontent.com/media/pictures/11699700-cd97-4f9e-b5cb-828c5092efdf/300x200
Vuelo,Vuelo a Barranquilla,144060,0,//media.staticontent.com/media/pictures/c9ac5751-d976-40ad-8c73-7b98309c0e24/300x200
Vuelo,Vuelo a Guarullos,1064460,0,//media.staticontent.com/media/pictures/082eb11c-b3f9-4967-997e-40d7c80b3061/300x200
Vuelo,Vuelo a Nueva York,838940,0,//media.staticontent.com/media/pictures/a125991e-3c03-4958-a6a5-27dbb6cc4062/300x200
Vuelo,Vuelos a Medellín,76737,0,//media.staticontent.com/media/pictures/56234749-08bf-4c05-a2de-617ce8941972/300x200
Vuelo,Vuelos a Cartagena de Indias,90121,0,//media.staticontent.com/media/pictures/7465e77a-1f66-402d-82ee-a4e4eb1548d2/300x200
Vuelo,Vuelos a Santa Marta,97165,0,//media.staticontent.com/media/pictures/8104e5a0-add2-4d32-9830-6c01444f000d/300x200
Paquete,Paquetes a San Andrés,1101961,1700421,//media.staticontent.com/media/pictures/355716c8-378d-46d5-bcb5-fe5dba23e837/300x200
Vuelo,Vuelos a Cali,74660,0,//media.staticontent.com/media/pictures/d82b6f14-bd0d-4ec0-bf01-c4bff1e4b75b/300x200
Alojamiento,UGO Hotel,273984,0,//media.staticontent.com/media/pictures/a11b893a-1d88-41c9-916d-69706770c7c7/300x200
Actividad,Entradas a Parques Temáticos Disney,516283,0,//media.staticontent.com/media/pictures/a1a798f7-f4ab-4583-b4f2-cc17a5b1fef8/300x200
Alojamiento,Hotel Calypso Beach,613786,0,//media.staticontent.com/media/pictures/310ff2bd-d37d-498e-937e-bca37a310cb7/300x200
Vuelo,Vuelos a Miami,716870,0,//media.staticontent.com/media/pictures/0e58a86e-1bde-45e3-bf45-7146fb50af16/300x200
Paquete,Paquetes a Santa Marta,427063,940802,//media.staticontent.com/media/pictures/01f66394-73cc-40a7-a065-ecc06b3bc9c5/300x200
Alojamiento,Hotel Poblado Plaza,350400,438000,//media.staticontent.com/media/pictures/410ac798-9be4-4a26-92b3-59c97baa0d2d/300x200
Auto,Aeropuerto Internacional Miami,144592,0,//media.staticontent.com/media/pictures/5769cfcb-13f3-45b2-806a-f484a4146305/300x200
Auto,Bogotá,96487,0,//media.staticontent.com/media/pictures/df81fb5c-e63f-4375-8d57-eec21fac8d24/300x200
Vuelo,Vuelos a Cartagena de Indias,82010,0,//media.staticontent.com/media/pictures/6b25df5b-55d0-482d-8008-fcba968e8a3e/300x200
Alojamiento,Hotel Capilla Del Mar,392412,509626,//media.staticontent.com/media/pictures/e10e9950-267c-40bc-b3d9-ea6582b700cf/300x200
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
